specObjID	ra	dec	z	zErr
245670974077272064	153.50238	46.842811	0.29808	1.60062E-4
245670974098243584	153.50905	46.885349	0.024684	9.21613E-5
245953889034043392	153.53677	47.530726	1.89825	2.13324E-3
245953889000488960	153.54274	47.552293	0.338523	1.7137E-4
245670976665157632	153.55214	47.597902	0.165089	1.61578E-4
265938354833457152	153.59243	46.690885	0.110667	9.29498E-5
245670974089854976	153.59479	46.793702	3.92623E-4	1.87998E-4
265938354825068544	153.59479	46.793702	4.19495E-4	2.23041E-4
245670974115020800	153.60166	47.179057	9.43016E-5	1.56716E-4
245670974152769536	153.61518	47.057069	0.165029	1.41234E-4
245670976635797504	153.63703	47.402077	0.385706	1.63439E-4
245670974094049280	153.64864	47.054558	0.165171	1.46912E-4
265938354808291328	153.64914	46.772997	0.383497	2.67299E-3
245670974144380928	153.65436	47.273931	0.16298	1.73498E-4
245953888954351616	153.66982	47.243265	0.160182	1.33446E-4
265938354812485632	153.67243	46.631913	-9999	-9999
265938354791514112	153.68251	46.727664	0.385056	1.92068E-4
245953889021460480	153.68374	47.402585	0.178629	1.72561E-4
245670974123409408	153.6881	47.255883	0.163536	1.5984E-4
245670974110826496	153.69043	47.017371	0.353643	1.3818E-4
245670974127603712	153.69281	47.153769	0.165723	1.60532E-4
245670974131798016	153.69514	46.849556	0.334156	2.59966E-4
245670974148575232	153.70238	46.951962	0.167514	1.7135E-4
245670974102437888	153.70643	47.1035	-9999	-9999
245670974085660672	153.71698	47.164878	0.162158	1.59285E-4
245953888971128832	153.72296	47.256473	0.167306	9.3045E-4
245670974140186624	153.73038	47.247427	0.16388	1.7795E-4
265938354804097024	153.75259	46.756753	0.024681	1.66714E-4
245670976598048768	153.75582	47.594133	0.125715	1.5893E-4
265938354799902720	153.76231	46.809809	-2.27376E-4	1.94364E-4
245670974119215104	153.77252	47.17124	0.162883	1.71869E-4
245670974081466368	153.79104	46.998699	0.024805	1.62E-4
245953888975323136	153.79789	47.229486	0.164214	1.47109E-4
245953889004683264	153.80321	47.4539	0.107639	1.52729E-4
245670976627408896	153.81749	47.556477	1.28524	1.34435E-3
245953888979517440	153.83043	47.236855	0.164664	1.47212E-4
245953888992100352	153.83044	46.942533	0.167903	1.02324E-4
245670974135992320	153.84623	47.284878	3.83508E-6	1.13961E-4
245953888853688320	153.85583	47.229823	0.162495	1.5739E-4
265938354850234368	153.87123	46.725107	0.384239	1.92562E-4
245953888786579456	153.88703	47.170319	0.169763	1.56272E-4
245953888841105408	153.90064	47.130882	0.193408	1.33252E-4
245953888832716800	153.91658	47.564372	0.179291	1.67826E-4
245953888857882624	153.91824	47.089553	0.169736	1.41112E-4
245953888790773760	153.9197	47.195453	0.166873	1.37234E-4
245953888794968064	153.94043	47.330279	0.079057	1.51937E-4
245953888836911104	153.9533	47.380513	0.402164	2.11291E-4
245953888811745280	153.95468	47.24313	-9999	-9999
265938354787319808	153.95635	46.799204	0.148585	1.3919E-4
265938354783125504	153.95836	46.830959	-1.36273E-4	6.97192E-5
265938354795708416	153.9604	47.070314	-6.85507E-5	1.21155E-4
265938354820874240	153.9718	46.625139	0.025618	1.94283E-4
265938354816679936	153.97686	46.672914	0.140099	9.48133E-5
245953888845299712	153.98781	47.382249	0.19464	1.50099E-4
245953888824328192	153.99007	46.932414	0.384429	2.04025E-4
265938354841845760	153.99629	46.807334	0.11002	8.74252E-5
245953888799162368	154.00441	47.268249	0.402288	2.181E-4
265938354959286272	154.01116	47.100173	-7.67389E-5	7.6541E-5
245953888828522496	154.0205	47.146439	0.169935	1.60972E-4
265938354955091968	154.02895	47.136811	0.16583	1.56674E-4
245953888820133888	154.03362	46.917738	0.10562	1.27189E-4
245953888815939584	154.04031	46.900617	0.105759	1.70035E-4
245953888803356672	154.04601	47.456187	0.125785	1.6316E-4
245953888807550976	154.07185	47.140217	0.171645	1.47487E-4
245953888849494016	154.07441	47.409276	1.63066	1.53494E-3
265938354984452096	154.08273	46.849328	0.079405	3.56839E-5
265938354967674880	154.08869	47.121486	-1.14185E-6	5.17073E-5
245953888639778816	154.09419	47.112045	0.821589	1.23831E-3
245953888643973120	154.10499	47.066302	1.51952E-5	4.62932E-5
245953888635584512	154.10999	47.147923	0.166036	1.38669E-4
265938354971869184	154.11014	47.069747	0.125519	2.03124E-4
245953888652361728	154.11938	47.36481	0.040386	1.53626E-4
245953888623001600	154.12367	47.390319	0.115725	1.61617E-4
265938355005423616	154.13166	46.652162	0.333748	1.56015E-4
265938354980257792	154.14945	46.760863	6.24312E-5	6.79614E-5
245953888681721856	154.17074	47.262694	-9999	-9999
265938354950897664	154.17171	46.891369	0.079513	8.98292E-5
265938355001229312	154.17988	46.614882	0.166926	1.23024E-4
265938354942509056	154.18404	46.830257	-9999	-9999
245953888656556032	154.21537	47.455009	0.10741	1.45371E-4
245953888627195904	154.21678	47.027065	0.163976	1.25635E-4
245953888685916160	154.21845	47.093986	0.16394	1.45174E-4
245953888618807296	154.22492	46.991433	0.125255	1.24496E-4
265938354997035008	154.22797	46.682018	0.104353	1.48445E-4
265938354963480576	154.232	46.664716	0.103405	1.37564E-4
265938355009617920	154.27623	46.99888	7.61129E-5	1.82994E-4
265938354938314752	154.27856	46.695368	0.07954	1.8105E-4
245953888673333248	154.29455	47.533763	0.141909	1.5639E-4
245953888631390208	154.30204	47.024949	0.163297	1.28216E-4
265938354976063488	154.30967	46.678964	-3.24753E-5	1.18535E-4
265938354946703360	154.31953	46.875664	-3.53466E-4	1.52539E-4
265938354988646400	154.32507	46.77774	-7.58561E-5	6.03975E-5
265938355110281216	154.3267	46.955589	1.41701	1.87061E-3
245953888648167424	154.32988	47.392993	0.220594	6.15012E-5
265938355177390080	154.36077	46.740066	0.07989	1.2708E-4
265938355160612864	154.36255	46.624538	0.106962	1.48657E-4
265938355152224256	154.36666	46.684092	0.025264	1.76295E-4
245953888698499072	154.37907	47.040296	0.335018	1.44606E-3
265938355106086912	154.3814	46.98529	0.053696	1.3786E-4
265938355131252736	154.38631	46.760176	0.164547	1.46875E-4
245953888660750336	154.38694	47.451366	0.191359	1.69118E-4
265938355181584384	154.38795	46.896317	0.063901	1.83593E-4
