objID	ra	dec	z	zErr
587732134303629589	154.07192825	47.14023407	0.149886	0.025953
587732134303629878	154.00250266	47.16100134	9.742E-3	0.033924
587732134303629481	154.10334976	47.06649988	0.160508	0.012791
587732134303629960	154.10465593	47.09667396	0.071427	0.040084
587732134303629332	153.96117762	47.08781465	0.201318	0.093123
587732134303629565	154.05971089	47.06870817	0.210679	0.024982
587732134303630074	154.03841017	47.07128854	0.143646	0.204721
587732134303629812	153.98740349	47.12672071	0.28662	0.077449
587732134303630073	153.99606852	47.13182534	0.287065	0.022483
587732134303629845	154.02692412	47.08807912	0.081378	0.038104
587732134303630080	154.00534916	47.13394589	0.412876	0.033159
587732134303629509	154.12606396	47.10422026	0.077101	0.025783
588013381661425948	154.12839589	47.06261865	0.075097	0.022809
587732134303629374	154.05667732	47.08743955	-9999	-9999
587732134303629840	153.98403611	47.14963991	0.121292	0.043674
587732134303630138	154.08449607	47.15312263	0.390048	0.213018
587732134303629476	154.03582285	47.15736536	0.121478	0.028375
587732134303695706	154.10961939	47.14351079	0.114723	0.1586
587732134303629474	154.03866171	47.15051651	0.164109	0.014568
587732134303629458	154.0182408	47.1412329	0.035985	0.084086
587732134303629811	153.99987249	47.10808727	0.222157	0.046249
587732134303629944	154.07265809	47.13625239	0.090603	0.026882
587732134303629846	154.02692412	47.08807912	0.087871	0.039403
587732134303630048	153.98177289	47.08091618	0.730772	0.037135
587732134303630145	154.10369638	47.12821113	0.217686	0.108487
587732134303629685	154.12837901	47.06261363	0.096043	0.024958
587732134303629370	154.05665651	47.07988443	0.285522	0.131168
587732134303630139	154.08449604	47.15312258	0.355865	0.20145
587732134303629475	154.03582285	47.15736535	0.120213	0.027015
587732134303630157	154.10961564	47.14347725	0.152396	0.12891
587732134303629472	154.0386617	47.15051649	0.163026	0.012709
587732134303629380	154.04146316	47.08359626	0.317522	0.172998
587732134303629819	153.97622394	47.15188624	0.081682	0.033527
587732134303629588	154.07192826	47.14023409	0.143788	0.022227
587732134303629482	154.10337235	47.06481557	0.084177	0.022873
587732134303630211	153.96125277	47.15073143	0.225999	0.165258
587732134303629567	154.05987095	47.07074731	0.134777	0.034621
587732134303630312	154.03554334	47.10828673	0.32023	0.199356
587732134303630241	154.08633927	47.08951751	0.159862	0.182184
587732134303630227	154.03863938	47.0909965	0.180434	0.22919
587732134303630044	153.9875359	47.06259277	0.354794	0.131105
587732134303629560	154.01857107	47.09954791	0.177836	0.02342
587732134303629926	154.05140855	47.14578933	0.132269	0.063862
587732134303629379	154.0573562	47.08865682	0.224109	0.128749
587732134303629466	154.08295412	47.07224501	0.134601	0.016415
587732134303629490	154.08712726	47.10587258	0.083528	0.026247
587732134303629492	154.11021781	47.06976622	0.089705	0.02337
587732134303629553	154.01234529	47.06423419	0.164151	0.010552
587732134303630260	154.11364517	47.12838452	0.753438	0.066828
587732134303629874	154.0429159	47.09406695	0.347528	0.078062
587732134303629362	154.05024756	47.09524468	0.142618	0.085854
587732134303629813	154.0255442	47.07075221	0.184704	0.134707
587732134303630043	153.97483334	47.07671201	0.157807	0.02952
587732134303629367	154.05171848	47.0961876	0.102106	0.035718
587732134303629462	154.02900873	47.13682695	0.160121	0.01122
587732134303629508	154.12606396	47.10422027	0.081319	0.027784
587732134303629576	154.05667732	47.10770445	0.173348	0.02625
587732134303629563	154.00684685	47.13574701	0.077247	0.022887
587732134303629363	154.05835843	47.07754247	0.467844	0.127219
587732134303629494	154.10977501	47.07648127	0.080478	0.018928
587732134303629446	153.98819012	47.151923	0.242973	0.100703
587732134303630198	153.97687273	47.07192763	0.346154	0.186293
587732134303629950	154.09918481	47.1017242	0.215892	0.023677
587732134303630135	154.07744669	47.14460261	0.232265	0.108496
587732134303629614	154.07604515	47.1049661	0.156834	0.01706
587732134303694855	154.10625437	47.1475918	0.087341	0.16605
587732134303630247	154.05796402	47.1614307	0.371934	0.194252
587732134303629963	154.08341338	47.13441066	0.057773	0.020491
587732134303630245	154.11070472	47.06242986	0.585806	0.03565
587732134303630259	154.11374958	47.12834608	0.758881	0.102438
587732134303630219	154.00068573	47.12028155	0.445877	0.167855
587732134303629959	154.06819323	47.15265219	0.079098	0.024903
587732134303629453	154.02056224	47.14645449	0.177254	0.010695
587732134303629867	153.99816361	47.15711309	0.193637	0.096048
587732134303629493	154.09916734	47.08785004	0.149954	0.029166
587732134303630137	154.12910956	47.07797748	0.043205	0.123798
587732134303629464	154.03085872	47.13439764	0.144539	0.062554
587732134303630129	154.08305894	47.1200637	0.14349	0.051621
587732134303629620	154.11041533	47.09227668	0.242266	0.013786
587732134303629578	154.08788629	47.06375704	0.150362	0.029531
587732134303695582	154.1137355	47.1283636	0.801099	0.064717
587732134303629439	153.97389575	47.12379569	0.143483	0.01544
587732134303630311	154.00062921	47.14108789	0.452463	0.172195
587732134303629687	154.12133388	47.0902205	0.027037	0.013947
587732134303629847	154.02590062	47.08943144	0.532176	0.022665
587732134303629809	153.99751985	47.1061207	0.070366	0.027777
587732134303629609	154.05138909	47.07168537	0.469048	0.015502
587732134303629927	154.05864439	47.13580872	0.166202	0.132388
587732134303694854	154.11001338	47.14794561	0.15304	0.030574
