objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587732134303629000.00,2883,40,1,64,84,6,154.0942628,47.11205385,17.222721,17.107983,17.127882,17.088564,17.010426,7.78E-03,4.36E-03,4.60E-03,5.28E-03,0.011428
587732134303629000.00,2883,40,1,64,85,3,154.0917867,47.11215819,21.856035,21.134584,20.456121,20.105543,19.683567,0.222616,0.065058,0.045376,0.052145,0.131156
587732134303629000.00,2883,40,1,64,179,3,154.0855275,47.10713427,23.980585,22.887211,22.140377,21.732109,21.655272,0.835752,0.225211,0.147737,0.159957,0.512357
587732134303629000.00,2883,40,1,64,279,3,154.0940959,47.11652427,20.703093,19.43939,18.719894,18.329695,18.032333,0.099738,0.019374,0.013803,0.015436,0.037854
587732134303630000.00,2883,40,1,64,815,3,154.0903115,47.10743719,23.602251,22.277987,21.741331,20.84017,20.392187,1.131698,0.212426,0.170873,0.121267,0.297989
587732134303630000.00,2883,40,1,64,937,3,154.0919346,47.1188194,22.355854,22.591633,21.926743,20.772482,19.832104,0.639585,0.438446,0.312706,0.177777,0.278923
587732134303629000.00,2883,40,1,64,177,3,154.0837069,47.1051295,20.386621,19.318792,18.812517,18.47683,18.388426,0.07007,0.015845,0.013056,0.014809,0.046372
587732134303629000.00,2883,40,1,64,178,3,154.0871273,47.10587258,21.216053,19.868879,19.25651,18.911066,18.73844,0.126954,0.022341,0.016928,0.019004,0.056645
587732134303629000.00,2883,40,1,64,184,6,154.0887513,47.12150654,23.018101,20.139828,18.750647,17.729706,17.136454,0.39648,0.021777,9.86E-03,7.08E-03,0.012762
587732134303629000.00,2883,40,1,64,618,3,154.0799637,47.10699296,22.268835,21.530151,20.917175,20.779547,20.537277,0.359853,0.105652,0.077778,0.10865,0.323542
587732134303629000.00,2883,40,1,64,638,3,154.0991848,47.1017242,22.920649,21.219631,19.758785,19.303635,18.89151,0.588371,0.07372,0.027215,0.028104,0.069742
587732134303629000.00,2883,40,1,64,663,3,154.1028816,47.11722509,22.18976,22.068645,21.253267,21.134243,21.192364,0.363249,0.177515,0.111592,0.159281,0.596169
587732134303630000.00,2883,40,1,64,812,6,154.0798743,47.11171991,24.473494,23.341396,22.390505,21.605675,21.153427,0.961426,0.319418,0.180196,0.137717,0.344267
587732134303630000.00,2883,40,1,64,817,3,154.0830589,47.1200637,24.668867,23.233925,22.108223,21.727633,21.612381,1.216873,0.367359,0.17745,0.197214,0.624092
587732134303629000.00,2883,40,1,64,175,3,154.0869082,47.09899588,20.948477,19.274071,18.150963,17.666685,17.378479,0.133937,0.019562,9.76E-03,0.027282,0.023856
587732134303629000.00,2883,40,1,64,271,3,154.093114,47.09266899,21.866051,20.165579,19.136948,18.700092,18.375269,0.249215,0.03174,0.017365,0.018021,0.047264
587732134303629000.00,2883,40,1,64,272,3,154.0914409,47.09436792,21.123135,19.591208,18.8449,18.451767,18.268435,0.148046,0.021723,0.014838,0.016392,0.047737
587732134303629000.00,2883,40,1,64,302,3,154.0760452,47.1049661,22.308069,20.475599,19.431398,19.005873,18.730375,0.35846,0.040195,0.021307,0.023167,0.062107
587732134303629000.00,2883,40,1,64,372,6,154.0779096,47.12616927,22.176012,21.512606,20.993023,20.799723,20.518185,0.204616,0.062567,0.051165,0.063806,0.187614
587732134303629000.00,2883,40,1,64,386,3,154.1190666,47.1131314,21.75111,20.911057,20.212437,19.911459,19.564016,0.195274,0.051644,0.036146,0.043464,0.114441
587732134303629000.00,2883,40,1,64,387,6,154.1216401,47.1141496,22.500393,24.13224,25.601662,25.034235,22.098881,0.263022,0.53096,0.589242,0.640469,0.619818
587732134303629000.00,2883,40,1,64,648,3,154.1046559,47.09667396,22.69241,21.476809,20.895493,20.533628,21.057783,0.410435,0.078225,0.060587,0.06871,0.395897
587732134303630000.00,2883,40,1,64,801,3,154.0703144,47.10543103,25.229713,23.188633,21.96884,21.263115,20.465143,1.488126,0.490247,0.211336,0.176801,0.325044
587732134303630000.00,2883,40,1,64,830,3,154.1077319,47.12089991,23.45517,22.992933,22.042429,21.609772,22.761139,0.677166,0.268304,0.150311,0.159799,0.93282
587732134303630000.00,2883,40,1,64,833,3,154.1036964,47.12821113,22.758905,22.829653,21.829777,21.583031,21.387243,0.447062,0.266786,0.141973,0.177111,0.529512
587732134303630000.00,2883,40,1,64,834,3,154.1131657,47.11637215,23.235247,22.904245,21.687914,21.597128,21.147379,0.736009,0.316743,0.139787,0.200693,0.493832
587732134303630000.00,2883,40,1,64,941,6,154.1134251,47.10496288,24.390343,24.332157,23.141876,21.526539,20.60523,0.903739,0.618384,0.328526,0.123503,0.205615
