specObjID	ra	dec	z	zErr
245953888996294656	153.1173	47.62363	0.162356	1.33051E-4
245670976484802560	153.1175	47.569511	0.162939	1.83449E-4
245670974278598656	153.12111	46.884929	0.165449	1.07673E-4
245670974035329024	153.13481	46.695356	0.038186	9.47037E-5
245953888987906048	153.13752	47.575163	0.16243	1.59161E-4
245670974043717632	153.14316	46.647519	0.06517	7.71897E-5
245670974060494848	153.14472	46.623025	0.063256	8.53037E-5
245953889059209216	153.1595	48.059188	0.502253	2.32808E-4
265938354778931200	153.16353	46.521666	0.15635	1.33166E-4
265938355030589440	153.16668	46.286634	0.156243	1.30552E-4
265938355055755264	153.17407	46.258517	2.17679	1.67957E-3
245670976434470912	153.17933	47.816034	0.373799	1.69967E-4
265938355097698304	153.19495	46.20194	0.045649	7.46072E-5
245670976585465856	153.19609	48.041001	0.345393	1.72787E-4
265938355051560960	153.20192	46.471793	0.110795	1.36512E-4
245670976426082304	153.20602	47.542946	-1.72142E-4	8.36491E-5
245670974307958784	153.2136	47.294961	0.039552	7.53148E-5
245670974249238528	153.2142	46.912821	0.024208	9.97123E-5
245953889071792128	153.21911	47.785739	2.6037	8.99099E-4
265655858627608576	153.22034	46.337445	1.46371	1.3604E-3
245670974303764480	153.22056	47.270228	0.039011	1.01826E-4
245670974270210048	153.23104	47.070247	0.064847	1.66354E-4
265655858615025664	153.23195	46.417737	0.038219	1.81008E-4
265938355064143872	153.23873	46.164934	0.362184	2.43244E-4
245670974266015744	153.24067	46.913	0.0238	9.12846E-5
265655858673745920	153.24335	46.121691	0.373937	1.44536E-4
265938355034783744	153.25725	46.448196	0.103703	1.67426E-4
245670974295375872	153.25764	47.152561	-1.04866E-4	1.18207E-4
245670976581271552	153.2584	47.96962	1.33893	1.53276E-3
265938355022200832	153.26794	46.405315	0.231743	1.56654E-4
265655858602442752	153.27828	46.403609	0.123173	1.5412E-4
265655858619219968	153.28608	46.173118	0.149591	1.45379E-4
245670976447053824	153.29845	47.904129	0.145111	4.14146E-5
245670974312153088	153.3	47.135964	0.168804	1.60688E-4
245953889105346560	153.30996	47.891591	0.146302	1.12832E-4
245670974257627136	153.3317	46.800347	-1.07736E-3	2.10773E-4
245670976639991808	153.33565	47.318155	0.812016	1.42771E-3
245670976551911424	153.33697	47.953019	0.115617	1.45549E-4
245953889067597824	153.33837	47.957342	0.257045	1.52992E-4
265938354837651456	153.34543	46.664019	0.084221	6.31284E-4
245670976610631680	153.34586	47.82598	0.257999	1.5087E-4
245953889075986432	153.35127	47.766147	0.064691	1.62681E-4
245670974320541696	153.35837	47.288289	0.1775	1.27329E-4
245670974282792960	153.36065	47.21985	0.135702	1.19608E-4
245953888966934528	153.36554	47.516232	0.025373	9.68283E-5
265655858669551616	153.38179	46.224361	0.161936	1.55262E-4
245953888958545920	153.38478	47.449925	0.162664	1.57923E-4
245670976631603200	153.38681	47.56095	-1.22078E-5	2.09965E-4
245670974291181568	153.39189	47.089335	0.039383	1.9022E-4
245953889025654784	153.39333	47.524957	0.124747	1.03182E-4
245670976564494336	153.40554	48.035167	0.329975	1.61584E-4
245670976648380416	153.4073	47.721192	0.064654	7.62093E-5
245670974245044224	153.41766	46.8479	-8.72395E-5	5.94311E-5
265938354770542592	153.41799	46.99646	0.218391	1.46221E-4
245953889055014912	153.41808	47.812042	0.22776	1.63124E-4
245670974316347392	153.42564	46.998826	0.02573	2.80857E-4
245670974253432832	153.43008	46.806296	-1.02582E-4	9.38797E-5
245670976589660160	153.43868	47.846284	-1.41121E-4	5.65984E-5
245670974299570176	153.44271	46.860887	0.063735	7.54846E-5
265655858623414272	153.44936	46.368102	1.2201E-4	8.18686E-5
245670974073077760	153.45034	46.899874	0.20586	2.006E-4
265938355038978048	153.45533	46.420037	0.166444	1.48962E-4
265655858635997184	153.47654	46.33588	1.67319	2.24926E-3
245670974106632192	153.48375	47.204912	-5.387E-5	1.39301E-4
245670976669351936	153.48803	47.430989	0.191602	1.92831E-4
265938354829262848	153.49745	46.525268	0.198502	1.64667E-4
245670974077272064	153.50238	46.842811	0.29808	1.60062E-4
245670976644186112	153.50547	47.678896	0.162447	1.51057E-4
265655858782797824	153.50779	46.331598	0.32109	1.80178E-3
245670974098243584	153.50905	46.885349	0.024684	9.21613E-5
265938355093504000	153.51249	46.331761	0.434855	1.72722E-4
245953889038237696	153.522	47.842572	0.169079	1.66925E-4
245953889034043392	153.53677	47.530726	1.89825	2.13324E-3
245953889000488960	153.54274	47.552293	0.338523	1.7137E-4
265938355026395136	153.54504	46.503582	0.220458	1.00619E-4
245670976602243072	153.54555	47.672776	1.25366E-4	7.36899E-5
245670976665157632	153.55214	47.597902	0.165089	1.61578E-4
245670976614825984	153.55384	47.734278	0.169293	1.55449E-4
245953889017266176	153.55418	47.656974	0.190989	1.43824E-4
245953889092763648	153.56591	48.027468	0.315702	1.61517E-4
265655858766020608	153.56681	46.233374	0.336593	2.03051E-4
245670976660963328	153.57239	47.61479	0.170344	1.61605E-4
245670976556105728	153.5811	47.992518	0.232673	1.54841E-4
265938354833457152	153.59243	46.690885	0.110667	9.29498E-5
245670974089854976	153.59479	46.793702	3.92623E-4	1.87998E-4
245670974115020800	153.60166	47.179057	9.43016E-5	1.56716E-4
245670974152769536	153.61518	47.057069	0.165029	1.41234E-4
265938354846040064	153.62037	46.518047	0.19854	1.41438E-4
245670976505774080	153.62299	47.987595	0.063985	9.0022E-5
245953889008877568	153.6298	47.646869	-1.83492E-4	7.78565E-5
245670976635797504	153.63703	47.402077	0.385706	1.63439E-4
245670974094049280	153.64864	47.054558	0.165171	1.46912E-4
265938354808291328	153.64914	46.772997	0.383497	2.67299E-3
245670974144380928	153.65436	47.273931	0.16298	1.73498E-4
245953889084375040	153.66009	48.006895	0.19566	1.71263E-4
245953888954351616	153.66982	47.243265	0.160182	1.33446E-4
265938355257081856	153.67149	46.27783	0.087346	1.35209E-4
265938354791514112	153.68251	46.727664	0.385056	1.92068E-4
245953889021460480	153.68374	47.402585	0.178629	1.72561E-4
245670974123409408	153.6881	47.255883	0.163536	1.5984E-4
265938355215138816	153.68851	46.200596	0.510416	2.30908E-4
245670974110826496	153.69043	47.017371	0.353643	1.3818E-4
245670976593854464	153.69212	47.604832	0.178118	1.6975E-4
245670974127603712	153.69281	47.153769	0.165723	1.60532E-4
245670974131798016	153.69514	46.849556	0.334156	2.59966E-4
245670974148575232	153.70238	46.951962	0.167514	1.7135E-4
265938355248693248	153.70683	46.136663	0.20881	1.97662E-4
245670974085660672	153.71698	47.164878	0.162158	1.59285E-4
245953888971128832	153.72296	47.256473	0.167306	9.3045E-4
