specObjID	ra	dec	z	zErr
245670974844829696	151.09443	46.291834	0.166052	1.07618E-4
283390206357274624	151.09496	49.347048	0.066356	7.6831E-5
283390206374051840	151.09628	49.061181	0.19619	1.58766E-4
283390206323720192	151.09687	49.19042	0.408658	1.91283E-4
265655857360928768	151.09697	44.834618	0.138864	1.22426E-4
265655858057183232	151.09843	45.508814	0.150475	7.9056E-5
265375785857056768	151.1023	44.17686	0.075976	1.97342E-4
265655857625169920	151.103	45.826128	-4.2437E-4	6.65482E-5
283390205895901184	151.10511	48.912279	0.392847	2.04556E-4
265375788184895488	151.10693	44.735215	1.76599	1.65424E-3
265375788277170176	151.107	45.008744	0.075772	1.41958E-4
283390205879123968	151.10853	48.594609	0.145601	8.88552E-5
283390206172725248	151.10862	49.525229	0.065969	7.28659E-5
283390205883318272	151.10963	48.858202	0.065749	1.65746E-4
245670974899355648	151.1127	46.646902	3.26808E-4	6.7425E-5
245670974828052480	151.11452	46.274048	0.319713	1.68234E-4
265655857365123072	151.11494	44.967376	0.076196	1.6411E-4
245670974966464512	151.11724	46.80519	0.064659	7.93979E-5
265655858086543360	151.11733	45.534049	0.191676	4.89137E-5
265375788201672704	151.11767	44.334211	8.08179E-6	1.1426E-4
245670975981486080	151.12532	47.623802	-9999	-9999
245670975973097472	151.1271	47.488544	-1.12227E-4	1.20039E-4
245670974836441088	151.13288	46.131362	0.218117	1.60209E-4
265655857608392704	151.14171	46.113894	0.511477	2.52401E-3
265655857436426240	151.14481	44.293972	0.152959	1.72848E-4
245670974878384128	151.14493	46.421315	1.87855E-6	7.14256E-5
245670974991630336	151.14629	46.890248	0.122947	1.89949E-4
283671673364807680	151.14799	49.911872	0.083284	1.53176E-4
283671673306087424	151.14884	49.642024	0.255578	2.04948E-4
283390205958815744	151.14907	48.928442	0.152758	1.72959E-4
265655858048794624	151.14959	45.686604	0.110547	3.96728E-5
265655857461592064	151.15279	44.27746	0.042526	8.16985E-5
245670974970658816	151.15434	46.764219	0.455999	1.80415E-4
283390206193696768	151.15844	49.2887	0.076356	1.50903E-4
283390205950427136	151.16166	48.894877	0.175372	1.81713E-4
265655858090737664	151.1628	45.491477	1.18671	2.12198E-3
265655858011045888	151.16389	45.611202	0.213372	8.93985E-4
265655858078154752	151.16455	45.709033	0.111582	8.47347E-5
265655858023628800	151.16592	45.568371	0.065529	1.5708E-4
245670975553667072	151.17028	48.175327	0.153394	1.5427E-4
245670974882578432	151.17341	46.359702	-9999	-9999
245670974874189824	151.17583	46.269929	0.101874	1.66363E-4
