objID	ra	dec	z	zErr
588013381661426573	154.14677594	47.06633023	0.067899	0.066674
587732134303630216	154.00197488	47.10224153	0.231076	0.106995
587732134303630196	153.98473318	47.0554123	0.719324	0.028492
587732134303629595	154.07860818	47.17117719	0.117343	0.023836
587732134303629968	154.13013784	47.06937437	0.094612	0.042937
587732134303629930	154.07996366	47.10699296	0.260878	0.100288
587732134303695404	154.1772204	47.12370208	0.573112	0.021642
587732134303629387	153.98686601	47.18760212	0.115326	0.114571
587732134303630038	153.91674887	47.1462587	0.432676	0.116992
587732134303629553	154.01234529	47.06423419	0.164151	0.010552
587732134303630139	154.08449604	47.15312258	0.355865	0.20145
587732134303630035	153.92029183	47.12996464	0.110525	0.074487
587732134303630121	154.06201534	47.13104109	0.135359	0.05751
587732134303630142	154.10773188	47.12089991	0.181261	0.137365
588013381661426445	154.06128836	47.0195827	0.121077	0.0345
587732134303630250	154.0379674	47.20129797	0.816638	0.086645
587732134303629932	154.01651825	47.20760691	0.041102	0.015943
588013381661426299	154.1594871	47.02079952	0.456967	0.181773
587732134303630308	153.97214989	47.14923841	0.267897	0.091864
587732134303630090	153.97019288	47.20718885	0.289273	0.153602
587732134303630208	153.95015239	47.15768453	0.639077	0.217629
587732134303630287	153.97092599	47.05900963	0.065992	0.084891
587732134303630146	154.11316568	47.11637215	0.275826	0.112965
587732484888264907	154.18660533	47.03915948	0.23328	0.07176
588013381661426195	154.04540904	47.03370335	0.155638	0.054269
587732134303629660	153.94885332	47.1655134	0.021229	9.682E-3
587732134303629822	154.02433681	47.08296608	0.051087	0.038757
588013381661426674	154.14731392	47.06153003	0.295084	0.141724
587732134303629322	153.97916198	47.01420993	0.181958	0.10354
588013381661426229	154.07342551	47.02633885	0.139972	0.099381
587732134303695598	154.19326711	47.07094907	0.532585	0.073024
587732134303629367	154.05171848	47.0961876	0.102106	0.035718
587732134303695608	154.14678261	47.18005433	0.481707	0.183172
587732134303630206	154.02598645	47.04119585	0.535457	0.139724
588013381661426489	154.09987901	47.03216655	0.442904	0.039343
587732134303629861	153.98502647	47.17585958	0.06725	0.018557
587732134303629841	154.05651353	47.0397406	0.098943	0.035529
588013381661491386	154.15364411	47.06897894	0.142277	0.022874
587732134303629603	153.9121257	47.10426864	0.160518	0.027038
587732134303630082	154.05424216	47.06731791	0.541395	0.204663
587732134303629341	154.03340052	47.06398033	0.039763	0.033423
587732134303629332	153.96117762	47.08781465	0.201318	0.093123
587732134303695182	154.17742522	47.09595555	0.075445	0.035298
587732134303629550	153.91734296	47.20318414	0.549661	0.161394
587732134303630102	154.08466743	47.06137944	0.428199	0.125372
587732134303629807	153.94311683	47.18376311	0.38689	0.093954
587732134303629491	154.08552746	47.10713427	0.167522	0.037025
587732134303630066	154.01104971	47.08638247	0.476371	0.150052
587732134303695379	154.10778103	47.17931968	0.179679	0.10924
587732134303630055	153.94292257	47.16231427	0.246281	0.102119
587732134303629360	154.06144384	47.08752361	0.07867	0.062131
588013381661425808	154.15781298	47.03802482	0.241032	0.127834
587732134303630074	154.03841017	47.07128854	0.143646	0.204721
587732134303629764	153.94398579	47.10764379	0.115313	0.026683
587732134303630305	153.9723764	47.04975157	0.361983	0.170275
587732134303630304	153.97038523	47.04106937	0.38606	0.170015
587732134303629439	153.97389575	47.12379569	0.143483	0.01544
587732134303694865	154.0907072	47.1938504	-9999	-9999
587732134303629831	153.9713532	47.16842626	0.285115	0.099917
587732134303629529	153.92758366	47.08499825	0.158887	0.013743
587732134303629371	154.04561939	47.08585151	0.027726	0.181268
587732134303695262	154.19056369	47.19092767	0.35807	0.088839
587732134303629668	154.04710711	47.04713707	0.187322	0.038261
587732134303629589	154.07192825	47.14023407	0.149886	0.025953
587732134303630099	154.0011086	47.18563286	0.539488	0.033756
587732134303695156	154.09699665	47.18455442	0.211052	0.052714
588013381661426309	154.14733247	47.05140092	0.27643	0.029744
587732134303629813	154.0255442	47.07075221	0.184704	0.134707
587732134303695363	154.09956251	47.14813027	0.30508	0.137331
587732134303629451	154.07855096	47.04256071	0.154483	0.012252
588013381661426426	154.03249136	47.01713614	0.55721	0.027308
587732134303629969	154.12951745	47.07131229	0.207101	0.041671
587732134303629657	154.02914175	47.03015003	0.128744	0.044168
587732134303695385	154.15136023	47.1205032	0.468066	0.148275
587732134303629694	154.07960279	47.16418327	0.231414	0.098984
